,Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee or Third Party,Critical Risk,Description
56,3/2/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot."
111,4/22/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances,The employee reports that he placed the air lance in the tank 1604 and then opened the manual air valve and projection of acid solution heated toward him reaching the front of the left thigh.
134,5/22/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies,"During the maintenance on the LX-P-205B pump, there was the projection of silicate pulp, reaching the right leg of the employee."
214,8/27/2016 0:00,Country_01,Local_06,Metals,I,II,Male,Employee,Pressurized Systems / Chemical Substances,"At 22:50 hours in row 12 when the cell suction partner removes the suction hose, untimely splashes of electrolyte solution in the left eye. Immediately he was referred to the medical service."
232,9/20/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Third Party (Remote),Blocking and isolation of energies,"The employee was performing maintenance of the blower, when the residual water projection occurred on his face. In an attempt to remove PPE, the injured person has had contact with contaminated gloves with the right eye causing irritation."
312,1/17/2017 0:00,Country_02,Local_08,Metals,I,IV,Male,Employee,Liquid Metal,"Upon approaching the furnace that was in the process of melting the Zn ingot, it was struck by liquid metal projection."
337,2/9/2017 0:00,Country_01,Local_03,Mining,IV,V,Male,Third Party (Remote),Power lock,"the Spillway circumstances where the worker was cleaning, with the use of an absorbent cloth, oil residues from the right edge of the Atlas AXS-186 compressor, with the bonnet open and in functioning; the rag falls inside the ompressor and in the attempt to remove it, it is hooked on the fan's propeller, pulling the worker's left hand toward the propeller causing the injury."
371,3/18/2017 0:00,Country_01,Local_03,Mining,V,V,Male,Third Party (Remote),Power lock,"During the activity of changing conveyor belt 11B feeding the primary mill No. 2; the mechanic entered the discharge chute (0.75 x 0.75 x 0.80 m.) to clean the material, at which time the automatic sampler (0.30 x 0.25 m) that was inside the chute was activated, trapping the mechanic at the height of the chest. At the time of the accident the mechanic was alone in the work area."
372,3/22/2017 0:00,Country_01,Local_06,Metals,V,V,Male,Third Party (Remote),Power lock,"Being approximately 20:57 hours of 03/22/2017; during the change of cables between the Z-332 power cell (locked cabinet) and the Z014 transformer; there is a loud noise followed by an oscillation of the electrical system. At that moment the collaborator Queneche of the company EISSA is found on the floor with his head inside an adjoining cell Z-132 (cabinet Not blocked - where he was not assigned to do any work), after having received an electric shock ."
150,6/5/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated."
185,7/11/2016 0:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads,"The accident occurred at the time an employee of the partner company SF carried out unloading operation of bladder bags. By cutting the bag for charging of the boom into the silo truck's delivery mouth, the inner plastic bag surrounding the contents abruptly dropped and a large amount of material fell onto the cone (funnel). The cone fell over and the injured man stood with his leg pressed between him and the body guard of the scaffold. There was external medical attention and it was verified that there was no fracture"
221,9/4/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads,"In section 75 in row 12 Cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. Worker is seen in the Medical and transferred to a clinic for external evaluation."
227,9/13/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Suspended Loads,"employee was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and caused a 1st degree burn."
278,12/8/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads,"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling."
308,1/10/2017 0:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Fall prevention,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering."
314,1/20/2017 0:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention."
354,2/26/2017 0:00,Country_02,Local_07,Mining,I,IV,Male,Employee,Fall prevention,"The employee was descending the ladder after inspection of the milling cyclones, which gives access to the floor behind the mill 10 by platform # ISC-MG26 when the floor gave way and it fell from a height of approximately 1 meter and 70 meters (there is material / ore below the platform, decreasing the height of the fall impact)."
375,3/31/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Third Party,Fall prevention,"Employee reports that he assisted the maintenance activity in Tower 09, in Electrolysis, when he stepped on the GRP grid (Polymer with Glass the floor moving, causing it to fall. The event took place in 3 stages: 1) Displacement and fall of the floor in the span when receiving the effort; 2) Employee fall to about 1.60m below the GRP floor, on the side of the gutter below the floor, supporting the structure; 3) Employee fall to the lower level, about 2.35m below the GRP floor."
377,4/5/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Suspended Loads,Employee performed the task of hoisting big-bags containing waelz oxide and after performing several hoistings the employee suffered a low-voltage electric shock when contacting the hoist when attaching the handle of a big-bag on it.
381,4/7/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Fall prevention,"At level 3790 (formerly level -280), the hydraulic filling personnel performed the installation of 4 ""diameter HDPE pipe through the ventilation chimney with the help of a 4-yard scooptram that held and pushed the end of the pipe. pipe (100 meters in length). At that moment the pipe gets stuck on the edge of the chimney causing the pipe to form an arc at the height where the injured worker was, who signals with the light of his lamp to the operator of the scooptram to stop and when trying to retire from the line of fire, the worker loses balance by light contact with the pipe causing fall at the same level."
150,6/5/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated."
185,7/11/2016 0:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads,"The accident occurred at the time an employee of the partner company SF carried out unloading operation of bladder bags. By cutting the bag for charging of the boom into the silo truck's delivery mouth, the inner plastic bag surrounding the contents abruptly dropped and a large amount of material fell onto the cone (funnel). The cone fell over and the injured man stood with his leg pressed between him and the body guard of the scaffold. There was external medical attention and it was verified that there was no fracture"
221,9/4/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads,"In section 75 in row 12 Cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. Worker is seen in the Medical and transferred to a clinic for external evaluation."
227,9/13/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Suspended Loads,"employee was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and caused a 1st degree burn."
278,12/8/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads,"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling."
308,1/10/2017 0:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Fall prevention,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering."
314,1/20/2017 0:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention."
354,2/26/2017 0:00,Country_02,Local_07,Mining,I,IV,Male,Employee,Fall prevention,"The employee was descending the ladder after inspection of the milling cyclones, which gives access to the floor behind the mill 10 by platform # ISC-MG26 when the floor gave way and it fell from a height of approximately 1 meter and 70 meters (there is material / ore below the platform, decreasing the height of the fall impact)."
375,3/31/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Third Party,Fall prevention,"Employee reports that he assisted the maintenance activity in Tower 09, in Electrolysis, when he stepped on the GRP grid (Polymer with Glass the floor moving, causing it to fall. The event took place in 3 stages: 1) Displacement and fall of the floor in the span when receiving the effort; 2) Employee fall to about 1.60m below the GRP floor, on the side of the gutter below the floor, supporting the structure; 3) Employee fall to the lower level, about 2.35m below the GRP floor."
377,4/5/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Suspended Loads,Employee performed the task of hoisting big-bags containing waelz oxide and after performing several hoistings the employee suffered a low-voltage electric shock when contacting the hoist when attaching the handle of a big-bag on it.
381,4/7/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Fall prevention,"At level 3790 (formerly level -280), the hydraulic filling personnel performed the installation of 4 ""diameter HDPE pipe through the ventilation chimney with the help of a 4-yard scooptram that held and pushed the end of the pipe. pipe (100 meters in length). At that moment the pipe gets stuck on the edge of the chimney causing the pipe to form an arc at the height where the injured worker was, who signals with the light of his lamp to the operator of the scooptram to stop and when trying to retire from the line of fire, the worker loses balance by light contact with the pipe causing fall at the same level."
150,6/5/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention,"The employee who works as an electrician in the management of electrometallurgy, suffers contusion in the right leg when suffering a slip at the height of step 3 of the staircase with code ELE-81-040 (ABB furnace cat ladder), immediately He is referred to a collaborator to the medical service to be treated."
185,7/11/2016 0:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads,"The accident occurred at the time an employee of the partner company SF carried out unloading operation of bladder bags. By cutting the bag for charging of the boom into the silo truck's delivery mouth, the inner plastic bag surrounding the contents abruptly dropped and a large amount of material fell onto the cone (funnel). The cone fell over and the injured man stood with his leg pressed between him and the body guard of the scaffold. There was external medical attention and it was verified that there was no fracture"
221,9/4/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads,"In section 75 in row 12 Cell 36, the worker performs anode lifting to correct short circuit, using the auxiliary hoist and nylon sling, at which time the sling is released from the anode and hits the back of the right hand causing it the injury. Worker is seen in the Medical and transferred to a clinic for external evaluation."
227,9/13/2016 0:00,Country_02,Local_05,Metals,I,II,Male,Employee,Suspended Loads,"employee was removing the strap from a chemical container as it projected toward him reaching his lower lip and anterior chest, the strap was contaminated with caustic soda and caused a 1st degree burn."
278,12/8/2016 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Suspended Loads,"At times when four mechanics performed the removal of a (1TM) engine on a positive slope using a key and a tyrfor, at the time that the 1st welder tightened the key (12 Kg of weight) when pulling the chain the eyebolt that held the Click on the roof of the work is broken transversely causing the fall of the key hitting the helmet of the welder mechanic causing cervical contracture. The tirfor was used during the activity as a second protection to prevent the engine from falling."
308,1/10/2017 0:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Fall prevention,"The auxiliary of general services I, Paulo e Silva, with 5 months and 10 days of work, was performing the activity of soil collection. During the movement of equipment to the next point, holding a lever, it encountered a piece of sloping ground and with interlaced vegetation, which caused the fall of the to the left, the same side where the tool was held. The rapid fall prevented the employee from leaning, causing a shock of the elbow with the ground. The employee continued the activity for another 3 points of sample collection until he felt the arm bothering."
314,1/20/2017 0:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention,"At 15:05 hours, Mr. Cesar Tello-MOINSAC, was carrying out the work of assembling the water line, for that he climbs up the cat ladder and at an approximate height of 2.5 meters he vanishes and falls, hitting himself on the way, being transferred to the medical center for his attention."
354,2/26/2017 0:00,Country_02,Local_07,Mining,I,IV,Male,Employee,Fall prevention,"The employee was descending the ladder after inspection of the milling cyclones, which gives access to the floor behind the mill 10 by platform # ISC-MG26 when the floor gave way and it fell from a height of approximately 1 meter and 70 meters (there is material / ore below the platform, decreasing the height of the fall impact)."
375,3/31/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Third Party,Fall prevention,"Employee reports that he assisted the maintenance activity in Tower 09, in Electrolysis, when he stepped on the GRP grid (Polymer with Glass the floor moving, causing it to fall. The event took place in 3 stages: 1) Displacement and fall of the floor in the span when receiving the effort; 2) Employee fall to about 1.60m below the GRP floor, on the side of the gutter below the floor, supporting the structure; 3) Employee fall to the lower level, about 2.35m below the GRP floor."
377,4/5/2017 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Suspended Loads,Employee performed the task of hoisting big-bags containing waelz oxide and after performing several hoistings the employee suffered a low-voltage electric shock when contacting the hoist when attaching the handle of a big-bag on it.
381,4/7/2017 0:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Fall prevention,"At level 3790 (formerly level -280), the hydraulic filling personnel performed the installation of 4 ""diameter HDPE pipe through the ventilation chimney with the help of a 4-yard scooptram that held and pushed the end of the pipe. pipe (100 meters in length). At that moment the pipe gets stuck on the edge of the chimney causing the pipe to form an arc at the height where the injured worker was, who signals with the light of his lamp to the operator of the scooptram to stop and when trying to retire from the line of fire, the worker loses balance by light contact with the pipe causing fall at the same level."
5,1/12/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes."
6,1/16/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level),"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand."
76,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level),"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot."
95,4/5/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure."
101,4/14/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressurized Systems,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal ."
135,5/20/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head."
154,6/8/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level),At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.
189,7/18/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"At 21:15 hours on 07/18/2016, the collaborator Warrin (welder), when trying to inspect a cracking point in the INLET of the G2143 laminator, slips and falls to the same level hitting his face and hand , he was immediately transferred to the medical service for evaluation."
192,7/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Pressurized Systems,"During torch cutting activity of the new evaporator treatment fixings, there was a rupture of the hose near the torch pen, causing the injury."
230,9/16/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Pressurized Systems,"Employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the Ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm."
238,9/27/2016 0:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Pressurized Systems,"At 14: 55h on 27 September, a worker from Confipetrol carried out industrial cleaning of the outside of the acid reduction tank D2055, to check the progress of the helmet mask; moment that hose pipe was released that was secured with pressure clamp (for water and air), impacting lips"
255,10/20/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressurized Systems,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise."
311,1/17/2017 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,remains of choco,"At level 3450, Tajo area 2; after completing the drilling of drills for loading; the operator removes the bit from the jumbo arm and walks towards the crew cabin; from the crown of the work a fragment of rock that passes through the cocada of the mesh of 3 ""and impacts on its helmet and rebound hits the right shoulder of the operator, generating the described injury."
318,1/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,remains of choco,"Being 4:15 a.m. on the 179th block of Nv 1880 Ob 2, at the moment that Messrs. and Roger (injured), cleaned the 14th drill of the radial mesh that was in an inclined shape in the right gable, moment that detaches fragments of rock of 5x5x2 cm. impacting the shoulder."
321,1/25/2017 0:00,Country_01,Local_03,Mining,V,VI,Male,Third Party,remains of choco,"During the process of loading drills in the Carmen pit of level 3450, the operator positions the basket of the anfo loader 186 equipment at a height of 3m from the floor to carry out the loading of the production drills; At this moment, a stone slab of 1.4x0.7x0.2 m is detached from the front of the pit, which is tilted and lodged inside the basket, trapping the right leg of the collaborator."
331,2/7/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Employee,remains of choco,"In Level 2900 - OP 5 the worker performed the chuteo ore from the hopper to the second car, perceived a slip of water and mud through the hopper, decided to leave the platform and when he was already down the second rung of the ladder of access, the water increases and a fragment of rock slides and hits the back of the worker causing it to fall and hit the right forearm and left knee."
355,2/27/2017 0:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,remains of choco,"In the area of â€‹â€‹Lloclla 50 meters from the sub-station Nro 4, under circumstances that the worker was preparing to pick up the rope from the floor, several fragments of rock slide down the slope of the hill, one of the 5 cm fragments of Diameter approximately impacts the face of the worker producing the aforementioned injury"
393,4/25/2017 0:00,Country_02,Local_07,Mining,IV,V,Male,Employee,remains of choco,"ACTIVITY: front sanitation (slaughter of choco with scaller) LOCAL: underground mine, level 350 - front 45 Upper JKA The operator performed front sanitation when a rock block from the roof hit the equipment. The accident victim was promptly rescued by the unit's emergency brigade and transported to the outpatient clinic where he received the first care, and was then transferred to the Municipal of Paracatu."
424,6/18/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,remains of choco,"Being 9:40 a.m. The driver of the AEQ-819 plate dump truck (35 Ton) was heading to the loading area Nv.1850, OB5, Tj 007, Bp.105, parking and proceeding with the ore loading with the scoop (11 ydrs) , at that moment, lift the first scoop towards the hopper and a large bank falls, causing the tipper to shake violently and the operator to be hit with the gear lever, communicate with the supervisor and evacuated to the medical center ."
438,7/9/2017 0:00,Country_01,Local_04,Mining,I,II,Female,Third Party,Fall prevention (same level),"At 10:00 a.m., when the assistant cleaned the floor of module ""E"" in the central camp, she slipped back and immediately grabbed the laundry table to avoid falling to the floor; suffering the described injury."
5,1/12/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems,"During the unloading operation of the ustulado Bag there was a need to unclog the discharge mouth of the silo truck. In performing this procedure, there was a maneuver of unhooking the hose without the total depressurisation of the mouth, projecting ustulado powder in the collaborator caused irritation in the eyes."
6,1/16/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level),"The collaborator reports that he was on street 09 holding in his left hand the volumetric balloon, when he slipped and when placing his hand on the ground the volumetric balloon ended up breaking caused a small wound in his left hand."
76,3/18/2016 0:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Fall prevention (same level),"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot."
95,4/5/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"The worker carried out the disassembly of 03 scaffolding bodies in the pulpomatic of the thickener D2251. the dismantling of the base of the scaffold, located approximately one meter high from the floor of the sump, the rivets of the anchor support of the platform were broken, causing the fall of the worker and impacting the right knee with the support that I am anchored in one of the horizontals of the scaffolding structure."
101,4/14/2016 0:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressurized Systems,"During the cleaning of the 16 ""vertical pipe using the hydrojet equipment (high pressure hose), the hose returned due to obstruction of the pipe with residue, reaching the operator who was actuating the equipment pedal ."
135,5/20/2016 0:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level),"In circumstances that the collaborator Juveni performed the washing of the tabolas in the pot washing area, she suffers a feeling of dizziness and faintness causing the fall the same level and producing a slight concussion in the head."
154,6/8/2016 0:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level),At approximately 6:20 p.m. on 08/06/16 the operator Eustaquio falls down from the metal platform that gives access to tank D-1021 of the strong acid leaching stage and suffers luxo-fractures in the wrist left when leaning on the floor with his hand. The operator was directed to the first tank of the strong acid leaching stage (Tk D-2040) to verify the entry of spent to the taque.
189,7/18/2016 0:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level),"At 21:15 hours on 07/18/2016, the collaborator Warrin (welder), when trying to inspect a cracking point in the INLET of the G2143 laminator, slips and falls to the same level hitting his face and hand , he was immediately transferred to the medical service for evaluation."
192,7/23/2016 0:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Pressurized Systems,"During torch cutting activity of the new evaporator treatment fixings, there was a rupture of the hose near the torch pen, causing the injury."
230,9/16/2016 0:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Pressurized Systems,"Employee reports that he was monitoring the existence of a borehole of a tubing in the thermal recovery boiler of the Ustulation area, through the side window, when he was struck by projection of heated air that reached his face and right forearm."
238,9/27/2016 0:00,Country_01,Local_06,Metals,I,II,Female,Third Party,Pressurized Systems,"At 14: 55h on 27 September, a worker from Confipetrol carried out industrial cleaning of the outside of the acid reduction tank D2055, to check the progress of the helmet mask; moment that hose pipe was released that was secured with pressure clamp (for water and air), impacting lips"
255,10/20/2016 0:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressurized Systems,"As the employee cleaned the thermal recovery boiler using an air boom, the hose loosened from the pipe connection, drawing a jet of compressed air toward his right ear, causing impact noise."
311,1/17/2017 0:00,Country_01,Local_03,Mining,I,III,Male,Employee,remains of choco,"At level 3450, Tajo area 2; after completing the drilling of drills for loading; the operator removes the bit from the jumbo arm and walks towards the crew cabin; from the crown of the work a fragment of rock that passes through the cocada of the mesh of 3 ""and impacts on its helmet and rebound hits the right shoulder of the operator, generating the described injury."
318,1/23/2017 0:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,remains of choco,"Being 4:15 a.m. on the 179th block of Nv 1880 Ob 2, at the moment that Messrs. and Roger (injured), cleaned the 14th drill of the radial mesh that was in an inclined shape in the right gable, moment that detaches fragments of rock of 5x5x2 cm. impacting the shoulder."
324,1/28/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment,"At the moment of entering through the mouth of Tunel 3600, the employee moves on the left side of the locomotive LT-18 (locomotive of personnel transfer that was stationed at the entrance of the mouth) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. It should be noted that the operator continued his duties during the watch without reporting what happened. At 2:30 a.m. The extraction supervisor, upon noticing the discomfort of his partner in the knee, immediately evacuated him to Natclar after reporting to the control center."
326,1/31/2017 0:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment,"Upon entering the mine interior; the bodeguero is located only in the litorina N Â° 13, last of the convoy; during its displacement, the litorina derails and advances approximately 15 meters; it is when the operator observes this event and before entering through the entrance gate paralyzes the displacement of the convoy. The winemaker had his full EPPs on."
348,2/23/2017 0:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Vehicles and Mobile Equipment,"Mr. Walter was putting his tools in the hopper of the Atlas truck that was parked on the cruise 320 of Level 1850 OB2B, then the mining operations van arrived driven by Engineer parked behind the truck of Atlas to approximately 3 meters and without having placed the safety block went to request the data of the drilling, later the assistant of the SIMBA 04 opened the gate, dropping the bit into the hopper of the mine truck and untimely the vehicle He moved forward, pinning the mechanic's right leg."
361,3/4/2017 0:00,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment,"The employee, who was hitchhiking, on the CEP 403 truck, equipment, he crossed the central canterio of the track to catch the key of the wheel loader with another operator who was stopped in the opposite direction. Upon returning to the truck, it was hit in the arm left by the loader tire that was traveling along the road and passed the CEP-403 on the right."
364,3/9/2017 0:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Vehicles and Mobile Equipment,"At Level 3970 (Before -100) When the F6M 801 license plate went from level 3570 to surface, when the pilot trying to locate his radio to answer a call from the concrete plant is distracted and crashes his vehicle against the left gable and the vehicle turns to the right side. When this happens, the copilot hits his right hand against a fragment of broken glass in the window on the right side of the vehicle."
365,3/8/2017 0:00,Country_01,Local_01,Mining,V,V,Male,Third Party,Vehicles and Mobile Equipment,"When the scoop was heading from Rpa 910 to the cut-off point of the Cro 861 South to be unloaded, it visualizes a truck that was parked with the lights and the engine ignited inside the thrust - where the Scoop found accumulating dismount-; the operator stops the Scoop and gets off to tell the driver of the truck to leave and when he finds no one he decides to go and look for the driver at the top of Cro 861 South, where he can not find it; Then he returns to his Scoop and at 15 to 20 meters visualizes the light of a lamp shining in the direction of the gable, when approaching, he finds the deceased lying on the side of the Scoop and proceeds to give immediate notice to the supervisory of the shift, control center and emergency center."
373,3/25/2017 0:00,Country_01,Local_03,Mining,II,V,Male,Third Party,Vehicles and Mobile Equipment,"When the Mixer 01 of the E.C.M INCIMMET S.A, moved by the positive south ramp, with direction to surface (Unicon concrete plant), at the height of the 3630 (Before 440), the operator observes that untimely lights and the engine go off, the control controls do not respond and the equipment starts to reverse. At 3 meters the operator jumps out of the cabin and at 20 meters the team hits the right gable and turns to its side left. In the area, in the circumstances of the event there was no presence of personnel or equipment that could have been affected."
324,1/28/2017 0:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment,"At the moment of entering through the mouth of Tunel 3600, the employee moves on the left side of the locomotive LT-18 (locomotive of personnel transfer that was stationed at the entrance of the mouth) without noticing the protruding abutment of said locomotive at the bottom hitting his right knee with the metal stirrup. It should be noted that the operator continued his duties during the watch without reporting what happened. At 2:30 a.m. The extraction supervisor, upon noticing the discomfort of his partner in the knee, immediately evacuated him to Natclar after reporting to the control center."
